Sujeto,# Img Dataset,# Img Recup-K1,# Img Recup-K2,# Img Recup-K3,# Img Recup-TK3
14_Cody_Pug,6,0,0,0,0
3_Bandit_Pug,11,0,0,0,0
9_Bella_Theresa_Husky,7,0,0,0,0
7_Bailey_Husky,4,0,0,0,0
4_Apolo_Husky,11,0,0,0,0
8_Bella_Husky,8,0,0,0,0
13_Dakota_Husky,10,0,0,0,0
2_AmericanBully_Yoko,6,0,0,0,0
12_Blaxter_Pitbull,4,0,0,0,0
6_Bella_Kappel_Husky,8,0,0,0,0
15_Clara_Pug,8,0,0,0,0
27_Doris_Pug,6,0,0,0,0
28_Dina_BorderCollie,6,0,0,0,0
16_Chesnut_Criollo,7,0,0,0,0
18_Chloe_Pug,4,0,0,0,0
19_Bu_chan_Pug,7,0,0,1,1
23_Dante_Mixto,6,0,0,0,0
21_Capitan_PastorCollie,11,0,0,0,0
20_Canela_Criollo,4,0,0,0,0
25_Dakota_CNC_Husky,4,0,0,0,0
33_Eimmy_Beagle,7,0,0,0,0
30_Injun_Husky,9,0,0,0,0
37_Eve_Husky,6,0,0,0,0
32_Duke_Pug,13,0,0,0,0
29_Husky_Jonva,13,0,0,0,0
40_Kira_Husky,4,0,0,0,0
36_Goliath_BulldogIngles,4,0,0,0,0
38_Gracie_Pug,16,0,0,0,0
42_Landy_Husky,7,0,0,0,0
35_Dulce_Boxer,7,0,0,0,0
52_Meeshka_Husky,12,0,0,0,0
43_Luna_Labrador,4,1,1,0,2
51_Mardi_Pinscher,9,1,0,0,1
57_Mickey_Beagle,6,0,0,0,0
44_Koda_Husky,4,0,0,0,0
61_Morgan_Pitbull,5,0,0,0,0
64_Monty2_Pug,9,0,0,0,0
45_Lulu_Husky,8,0,0,0,0
60_Nala_Malamute,4,0,0,0,0
58_Nala2_Criollo,7,0,0,1,1
68_Paimei_Mixto,20,0,0,0,0
73_Orion_GranDanes,9,0,0,0,0
69_Peaches_Pug,15,0,0,0,0
76_Princesa2_Husky,5,0,0,0,0
65_Nikita_Pug,6,0,0,0,0
67_Newton_Pug,4,0,0,0,0
77_Philly_BulldogFrances,3,0,0,0,0
66_Noodles_Pug,9,0,0,0,0
72_Oreo_Chitzu,4,0,0,1,1
70_Oliver_Pug,8,0,0,0,0
88_Wilco_Pug,4,0,0,0,0
82_Ridley_Pug,18,0,0,0,0
87_Skipper_Husky,7,0,0,0,0
81_Rico_Pug,5,0,0,0,0
80_Santa_Criollo,20,0,0,0,0
86_Skye_Husky,5,0,0,0,0
85_Sarabi_MastinTibetano,6,0,0,0,0
84_Purcy_Pug,12,0,0,0,0
83_Roscoe_Pug,9,1,0,0,1
78_Rave_Husky,6,0,0,0,0
101_ZowieHusky,13,0,0,0,0
91_Toby2_Schnauzer,4,0,0,0,0
89_Winston_Pug,7,0,0,0,0
92_Toby_BulldogFrances,6,0,0,0,0
100_Zeus_Rekel_Husky,5,0,0,0,0
99_Yoda_Pug,13,0,0,0,0
95_Taffy_Criollo,16,0,0,0,0
97_Tala_Husky,5,0,0,0,0
104_Orion_Pitbull,4,0,0,0,0
98_Yago_Mixto,5,0,0,0,0
